Landingpage,Sitzungen,Neue Nutzer
/ferien/d/stadt/chemnitz,1.621,1.346
/ferien/d/stadt/remscheid,1.592,1.012
/ferien/d/stadt/recklinghausen,1.591,1.215
/brueckentage/d/bundesland/saarland/2022,1.566,1.375
/ferien/d/bundesland/mecklenburg-vorpommern,1.550,1.317
/ferien/d/stadt/norderstedt,1.546,1.242
/ferien/d/stadt/jena,1.519,1.259
/ferien/d/schule/12099-daa-deutsche-angestellten-akademie-gmbh,1.517,1.240
/ferien/d/stadt/herne,1.505,1.154
/ferien/d/bundesland/bremen,1.504,1.255
/brueckentage/d/bundesland/hessen/2022,1.491,1.367
/ferien/d/stadt/elmshorn,1.484,1.052
/ferien/d/stadt/tuttlingen,1.484,1.091
/ferien/d/stadt/pforzheim,1.460,1.215
/ferien/d/stadt/hameln,1.448,1.073
/ferien/d/stadt/sylt-ost,1.439,1.176
/ferien/d/bundesland/brandenburg,1.412,1.234
/ferien/d/stadt/muensingen,1.407,1.304
/ferien/d/bundesland/bremen/schulbeginn,1.404,1.241
/ferien/d/stadt/hanau,1.404,1.119
/brueckentage/d/bundesland/bayern/2022,1.393,1.275
/ferien/d/stadt/luedenscheid,1.392,1.003
/ferien/d/stadt/ravensburg,1.380,1.183
/ferien/d/stadt/stralsund,1.378,1.054
/ferien/d/stadt/giessen,1.372,1.085
/ferien/d/schule/81739-europaeische-schule-muenchen,1.371,1.164
/ferien/d/stadt/guetersloh,1.363,1.066
/ferien/d/stadt/emden,1.352,1.050
/ferien/d/stadt/frankfurt-oder,1.352,1.071
/ferien/d/stadt/neuwied,1.349,1.033
/ferien/d/stadt/kiel-sh,1.338,1.055
/bridge_days/federal_states/niedersachsen/2020-01-01/2020-12-31/1,1.298,1.193
/ferien/d/stadt/marburg,1.288,1.081
/brueckentage/d/bundesland/brandenburg/2021,1.276,1.137
/ferien/d/stadt/prerow,1.253,891
/ferien/d/stadt/schwaebisch-gmuend,1.248,1.097
/ferien/d/stadt/mellingen,1.244,1.114
/ferien/d/stadt/wedel,1.212,855
/ferien/d/stadt/offenburg,1.207,1.027
/brueckentage/d/bundesland/baden-wuerttemberg/2021,1.204,1.092
/ferien/d/schule/04109-universitaet-leipzig,1.202,1.076
/ferien/d/schule/14195-private-kant-schule-berlin-international-school,1.196,998
/ferien/d/stadt/rheine,1.186,853
/ferien/d/stadt/bottrop,1.185,936
/ferien/d/schule/13349-osz-gesundheit-i,1.165,820
/ferien/d/stadt/ahrensburg,1.159,839
/ferien/d/stadt/dueren,1.157,916
/brueckentage/d/bundesland/berlin/2022,1.154,1.040
/ferien/d/stadt/herford,1.153,897
/ferien/d/schule/66121-deutsch-franzoesisches-gymnasium,1.150,984
/ferien/d/stadt/passau,1.142,895
/ferien/d/schule/82319-priv-volksschule-munich-international-school-e-v-starnberg-percha,1.126,1.011
/ferien/d/stadt/nuertingen,1.121,966
/ferien/d/stadt/schweinfurt,1.120,820
/ferien/d/stadt/nordhorn,1.119,822
/brueckentage/d/bundesland/sachsen/2022,1.113,1.010
/bridge_days/federal_states/nordrhein-westfalen/2020-01-01/2020-12-31/2,1.112,1.028
/ferien/d/stadt/gera,1.103,862
/ferien/d/stadt/goerlitz,1.103,892
/ferien/d/stadt/aurich,1.102,851
/ferien/d/stadt/zwickau,1.101,909
/ferien/d/stadt/leonberg,1.086,897
/ferien/d/stadt/rottweil,1.071,922
/ferien/d/stadt/heidenheim-an-der-brenz,1.053,917
/ferien/d/schule/14195-rudolf-steiner-schule-berlin,1.037,768
/ferien/d/stadt/plauen,1.036,818
/ferien/d/stadt/bonstetten,1.033,893
/ferien/d/schule/01067-internationale-schule-dresden-dresden-international-school-schu,1.031,862
/ferien/d/schule/30169-international-school-hannover-region-int-schule-hannover-region-gmbh,1.030,897
/ferien/d/stadt/fellbach,1.027,887
/ferien/d/stadt/detmold,1.026,851
/ferien/d/stadt/schorndorf,1.021,844
/ferien/d/schule/81667-staatliche-fachoberschule-fuer-technik-muenchen,1.019,905
/ferien/d/stadt/rosenheim,1.012,813
/ferien/d/schule/30173-freie-waldorfschule-am-maschsee-in-freier-traegerschaft,1.009,860
/ferien/d/bundesland/mecklenburg-vorpommern/schulbeginn,999,921
/ferien/d/stadt/dessau,999,801
/ferien/d/stadt/fuerth,980,741
/cities/52064-aachen,972,792
/cities/33602-bielefeld,967,760
/ferien/d/stadt/itzehoe,959,748
/ferien/d/stadt/lutherstadt-wittenberg,950,753
/ferien/d/stadt/villingen-schwenningen,946,820
/ferien/d/schule/26548-kgs-norderney,944,750
/ferien/d/bundesland/brandenburg/schulbeginn,941,882
/cities/50678-koeln,931,835
/ferien/d/schule/10587-amd-akademie-mode-and-design-berlin,930,844
/bridge_days/federal_states/rheinland-pfalz/2020-01-01/2020-12-31/1,929,838
/ferien/d/stadt/bietigheim-bissingen,922,793
